distance,consume,speed,temp_inside,temp_outside,gas_type,AC,rain,sun,temp_diff,fuel_used,cost_of_trip
10.5,3.6,42,20.0,10,SP98,0,0,0,10.0,0.37800000000000006,0.867
12.3,5.2,57,20.0,10,SP98,0,0,0,10.0,0.6396000000000001,1.467
11.8,4.9,25,20.0,11,SP98,0,0,0,9.0,0.5782,1.326
12.3,6.2,58,20.0,11,SP98,0,1,0,9.0,0.7626000000000001,1.749
13.2,4.3,51,20.0,11,SP98,0,1,0,9.0,0.5676,1.302
13.0,5.0,45,20.0,11,SP98,0,1,0,9.0,0.65,1.491
12.9,5.1,32,20.0,11,SP98,0,0,0,9.0,0.6578999999999999,1.509
13.9,5.6,22,20.0,8,SP98,0,0,0,12.0,0.7784,1.786
11.8,4.3,37,20.0,6,SP98,0,0,0,14.0,0.5074000000000001,1.164
12.2,5.8,60,20.0,11,SP98,0,0,0,9.0,0.7075999999999999,1.623
12.5,4.0,51,20.0,13,SP98,0,0,0,7.0,0.5,1.147
12.4,4.7,43,21.5,10,SP98,0,0,0,11.5,0.5828,1.337
11.8,5.9,21,20.0,9,SP98,1,1,0,11.0,0.6962,1.597
11.8,5.3,52,21.5,11,SP98,0,0,0,10.5,0.6254,1.435
12.5,4.2,57,20.0,11,SP98,0,0,0,9.0,0.525,1.204
15.7,5.3,33,21.5,9,SP98,0,0,0,12.5,0.8321,1.909
12.9,5.7,35,21.5,9,SP98,0,0,0,12.5,0.7353000000000001,1.687
6.4,4.4,37,21.5,10,SP98,0,0,0,11.5,0.2816,0.646
5.3,4.1,34,21.5,9,SP98,0,0,0,12.5,0.21729999999999997,0.498
26.2,5.8,71,21.0,8,SP98,1,1,0,13.0,1.5195999999999998,3.486
18.8,5.0,62,21.5,9,SP98,0,1,0,12.5,0.94,2.156
4.9,6.9,25,21.0,12,SP98,0,1,0,9.0,0.3381,0.776
12.4,5.4,18,21.0,11,SP98,1,1,0,10.0,0.6696000000000001,1.536
22.9,5.3,45,20.5,7,SP98,0,0,0,13.5,1.2137,2.784
162.7,5.5,75,23.0,1,SP98,0,0,0,22.0,8.9485,20.528
4.9,6.5,26,21.0,1,SP98,0,0,0,20.0,0.3185,0.731
11.8,4.7,36,21.0,4,SP98,0,0,0,17.0,0.5546000000000001,1.272
16.6,5.1,56,21.0,7,SP98,0,0,0,14.0,0.8466,1.942
12.4,5.7,37,21.0,7,SP98,0,0,0,14.0,0.7068000000000001,1.621
15.9,5.4,25,21.0,7,SP98,0,0,0,14.0,0.8586000000000001,1.97
5.1,8.7,21,23.5,5,SP98,0,0,0,18.5,0.44369999999999993,1.018
22.4,4.9,66,20.5,7,SP98,0,0,0,13.5,1.0976000000000001,2.518
31.1,4.7,42,20.5,7,SP98,0,0,0,13.5,1.4617000000000002,3.353
4.9,6.3,27,20.5,3,SP98,0,0,0,17.5,0.30870000000000003,0.708
11.8,5.1,26,23.0,4,SP98,0,1,0,19.0,0.6018,1.381
22.9,6.0,42,23.0,4,SP98,0,1,0,19.0,1.3739999999999997,3.152
12.4,4.6,38,23.0,1,SP98,0,1,0,22.0,0.5704,1.308
12.9,5.8,40,23.0,4,SP98,0,0,0,19.0,0.7482,1.716
11.8,5.1,43,23.0,0,SP98,0,0,0,23.0,0.6018,1.381
12.2,5.8,58,23.0,2,SP98,0,0,0,21.0,0.7075999999999999,1.623
24.8,4.6,55,23.0,3,SP98,0,0,0,20.0,1.1408,2.617
14.2,5.6,24,23.0,8,SP98,0,0,0,15.0,0.7951999999999999,1.824
11.8,4.6,38,23.0,0,SP98,0,1,0,23.0,0.5428000000000001,1.245
12.2,6.3,57,23.0,0,SP98,0,1,0,23.0,0.7686,1.763
24.7,5.5,56,25.0,1,SP98,0,0,0,24.0,1.3585,3.116
6.8,4.3,46,24.0,2,SP98,0,0,0,22.0,0.2924,0.671
17.3,5.6,37,21.5,1,SP98,0,0,0,20.5,0.9688,2.222
11.8,4.3,44,21.5,-3,SP98,0,0,0,24.5,0.5074000000000001,1.164
15.9,5.7,46,21.5,5,SP98,0,0,0,16.5,0.9063000000000001,2.079
5.1,6.4,39,21.5,4,SP98,0,0,0,17.5,0.3264,0.749
16.1,4.5,33,21.5,6,SP98,0,0,0,15.5,0.7245,1.662
11.8,4.5,43,21.5,3,SP98,0,0,0,18.5,0.531,1.218
4.2,6.0,26,21.5,5,SP98,0,0,0,16.5,0.252,0.578
17.4,5.1,30,21.5,5,SP98,0,0,0,16.5,0.8873999999999999,2.036
23.5,6.0,25,21.5,5,SP98,0,1,0,16.5,1.41,3.235
11.8,4.5,38,21.5,5,SP98,0,1,0,16.5,0.531,1.218
12.3,6.1,61,21.5,10,SP98,0,1,0,11.5,0.7503,1.721
16.1,5.4,24,21.5,7,E10,0,1,0,14.5,0.8694000000000002,1.713
11.8,4.3,40,21.5,10,E10,0,1,0,11.5,0.5074000000000001,1.0
12.3,5.4,58,21.5,13,E10,0,0,0,8.5,0.6642,1.308
12.4,4.3,49,21.5,17,E10,0,0,0,4.5,0.5332,1.05
7.0,5.2,25,21.5,17,E10,0,0,0,4.5,0.364,0.717
11.8,4.1,37,21.5,10,E10,0,0,0,11.5,0.48379999999999995,0.953
20.1,4.4,41,21.5,18,E10,0,0,0,3.5,0.8844000000000001,1.742
20.8,4.5,45,21.5,10,E10,0,0,0,11.5,0.936,1.844
1.7,10.8,14,21.5,10,E10,0,1,0,11.5,0.18359999999999999,0.362
35.9,4.7,45,21.5,12,E10,0,0,0,9.5,1.6872999999999998,3.324
36.9,4.8,52,21.5,5,E10,0,0,0,16.5,1.7711999999999997,3.489
16.8,4.0,46,21.5,8,E10,0,0,0,13.5,0.672,1.324
9.9,5.0,28,21.5,9,E10,0,0,0,12.5,0.495,0.975
22.9,4.6,61,21.5,7,E10,0,1,0,14.5,1.0534,2.075
17.3,5.0,61,21.5,6,E10,1,1,0,15.5,0.865,1.704
11.8,4.3,37,21.5,7,E10,0,0,0,14.5,0.5074000000000001,1.0
36.6,5.2,80,21.5,7,E10,0,1,0,14.5,1.9032000000000002,3.749
44.9,4.7,62,21.5,8,E10,0,0,0,13.5,2.1103,4.157
11.8,4.2,34,21.5,9,E10,0,1,0,12.5,0.49560000000000004,0.976
21.6,5.3,44,21.5,9,E10,0,1,0,12.5,1.1448,2.255
39.4,5.3,60,21.5,9,E10,0,1,0,12.5,2.0882,4.114
5.1,8.1,39,21.5,4,E10,0,0,0,17.5,0.41309999999999997,0.814
26.6,4.8,38,21.5,7,E10,0,0,0,14.5,1.2768000000000002,2.515
53.2,5.1,71,21.5,2,E10,0,0,0,19.5,2.7132,5.345
18.9,4.4,53,21.5,2,E10,0,0,0,19.5,0.8316,1.638
43.5,5.0,80,21.5,3,E10,0,0,0,18.5,2.175,4.285
6.1,6.3,26,21.5,5,E10,0,0,0,16.5,0.3843,0.757
16.4,4.8,49,21.5,5,E10,0,0,0,16.5,0.7871999999999999,1.551
12.3,6.1,40,21.5,6,E10,0,0,0,15.5,0.7503,1.478
21.1,4.6,36,21.5,8,E10,0,0,0,13.5,0.9706,1.912
21.1,4.8,43,21.5,7,E10,0,0,0,14.5,1.0128,1.995
22.7,4.7,55,21.5,6,E10,0,0,0,15.5,1.0669,2.102
44.4,4.8,38,21.5,8,E10,0,0,0,13.5,2.1311999999999998,4.198
35.8,4.4,51,21.5,6,E10,0,0,0,15.5,1.5752000000000002,3.103
11.8,4.9,44,21.5,0,E10,0,0,0,21.5,0.5782,1.139
26.2,4.9,42,21.5,6,E10,0,0,0,15.5,1.2838,2.529
40.6,4.4,44,21.0,3,E10,0,0,0,18.0,1.7864000000000002,3.519
12.4,5.3,38,21.0,-5,E10,0,0,0,26.0,0.6572,1.295
14.1,5.3,47,21.0,-3,E10,0,0,0,24.0,0.7472999999999999,1.472
58.7,4.8,75,21.0,0,E10,0,0,0,21.0,2.8176,5.551
16.2,5.2,29,21.0,0,E10,0,0,0,21.0,0.8423999999999999,1.66
12.3,4.9,50,22.5,0,E10,0,0,0,22.5,0.6027000000000001,1.187
12.3,7.1,52,22.5,0,E10,1,1,0,22.5,0.8733,1.72
12.4,5.2,51,22.5,1,E10,0,0,0,21.5,0.6448,1.27
31.8,4.7,59,22.5,3,E10,0,0,0,19.5,1.4946000000000002,2.944
12.3,5.1,55,22.5,8,E10,0,0,0,14.5,0.6273,1.236
51.6,5.0,73,22.5,12,E10,0,0,0,10.5,2.58,5.083
38.6,4.6,44,22.5,10,E10,0,0,0,12.5,1.7756,3.498
12.3,4.8,41,22.5,7,E10,0,0,0,15.5,0.5904,1.163
81.2,4.4,69,22.0,13,E10,0,0,0,9.0,3.5728000000000004,7.038
130.3,4.6,85,22.0,12,E10,0,0,0,10.0,5.9938,11.808
67.2,4.3,67,22.0,18,E10,0,0,0,4.0,2.8895999999999997,5.693
43.7,4.7,44,22.0,9,SP98,0,1,0,13.0,2.0539,4.712
12.1,4.2,43,22.0,4,SP98,0,0,0,18.0,0.5082,1.166
56.1,4.8,82,22.0,13,SP98,0,0,0,9.0,2.6927999999999996,6.177
39.0,4.1,61,22.0,16,SP98,0,0,0,6.0,1.5989999999999998,3.668
11.8,4.5,41,21.5,13,SP98,0,0,0,8.5,0.531,1.218
38.5,4.8,63,21.5,14,SP98,0,0,0,7.5,1.8479999999999999,4.239
28.2,4.6,54,21.5,14,SP98,0,0,0,7.5,1.2972,2.976
2.9,7.4,24,21.5,14,SP98,0,0,0,7.5,0.2146,0.492
6.1,5.6,24,21.5,13,SP98,0,0,0,8.5,0.34159999999999996,0.784
19.6,4.9,43,21.5,13,SP98,0,0,0,8.5,0.9604000000000003,2.203
22.2,3.8,42,21.5,15,SP98,0,0,0,6.5,0.8436,1.935
13.6,4.5,44,19.0,18,SP98,0,0,0,1.0,0.612,1.404
12.6,4.1,33,21.5,17,SP98,0,0,0,4.5,0.5166,1.185
8.7,5.3,28,22.5,12,SP98,1,1,0,10.5,0.4610999999999999,1.058
7.9,4.7,31,22.5,12,SP98,1,0,0,10.5,0.3713,0.852
2.4,9.0,26,20.0,10,SP98,0,0,0,10.0,0.21599999999999997,0.496
4.9,6.3,26,20.0,10,SP98,0,0,0,10.0,0.30870000000000003,0.708
18.1,3.6,36,20.0,19,SP98,0,0,0,1.0,0.6516000000000001,1.495
25.9,3.7,39,20.0,21,SP98,0,0,0,-1.0,0.9582999999999999,2.198
1.3,11.5,21,20.0,10,SP98,0,0,0,10.0,0.14950000000000002,0.343
14.1,5.0,22,20.0,12,SP98,0,0,0,8.0,0.705,1.617
13.4,5.5,31,20.0,9,SP98,0,0,0,11.0,0.737,1.691
6.4,4.7,33,20.0,8,SP98,0,0,0,12.0,0.3008,0.69
12.9,4.5,42,20.0,13,SP98,0,0,0,7.0,0.5805,1.332
12.1,4.4,33,22.5,5,SP98,0,0,0,17.5,0.5324,1.221
15.7,4.1,32,22.5,13,SP98,0,0,0,9.5,0.6436999999999999,1.477
16.2,4.4,26,22.5,11,SP98,0,0,0,11.5,0.7128,1.635
12.8,4.6,22,22.5,12,SP98,0,0,0,10.5,0.5888,1.351
19.0,4.4,58,22.5,17,SP98,0,0,1,5.5,0.8360000000000001,1.918
29.0,4.0,27,22.5,12,SP98,0,0,0,10.5,1.16,2.661
12.1,5.0,32,22.5,9,SP98,0,0,0,13.5,0.605,1.388
12.3,5.2,55,22.5,10,SP98,0,0,0,12.5,0.6396000000000001,1.467
24.8,4.0,56,22.5,11,SP98,0,0,0,11.5,0.992,2.276
12.9,5.1,34,22.5,8,SP98,0,1,0,14.5,0.6578999999999999,1.509
11.8,4.5,39,22.5,3,SP98,0,0,0,19.5,0.531,1.218
31.4,4.6,62,22.5,11,SP98,0,0,0,11.5,1.4443999999999997,3.313
19.0,5.1,53,22.5,4,SP98,0,1,0,18.5,0.9689999999999999,2.223
13.0,5.7,38,22.5,3,SP98,1,1,0,19.5,0.7410000000000001,1.7
11.8,4.8,42,22.5,2,SP98,0,0,0,20.5,0.5664,1.299
13.0,6.2,32,22.5,4,SP98,0,0,0,18.5,0.806,1.849
11.8,5.0,43,22.5,1,SP98,0,0,0,21.5,0.59,1.353
27.1,5.0,69,22.5,8,SP98,0,0,0,14.5,1.355,3.108
5.2,4.6,38,22.5,8,SP98,0,0,0,14.5,0.23919999999999997,0.549
19.0,4.5,29,22.5,10,E10,0,0,0,12.5,0.855,1.684
12.4,4.8,38,22.5,1,E10,0,0,0,21.5,0.5952,1.173
25.2,5.0,55,22.5,9,E10,0,0,0,13.5,1.26,2.482
14.3,4.8,36,22.5,10,E10,0,0,0,12.5,0.6864,1.352
11.8,4.6,40,22.5,2,E10,0,0,0,20.5,0.5428000000000001,1.069
16.9,4.5,48,22.5,9,E10,0,0,1,13.5,0.7605,1.498
12.4,4.6,55,22.5,11,E10,0,0,1,11.5,0.5704,1.124
17.4,4.4,36,22.5,12,E10,0,0,1,10.5,0.7656000000000001,1.508
9.2,5.7,33,22.5,8,E10,0,1,0,14.5,0.5244,1.033
12.3,5.8,54,22.5,10,E10,0,1,0,12.5,0.7134,1.405
13.0,5.9,32,22.5,10,E10,0,0,0,12.5,0.767,1.511
11.8,6.1,16,22.5,6,E10,0,1,0,16.5,0.7198,1.418
13.0,5.7,37,22.5,11,E10,0,1,0,11.5,0.7410000000000001,1.46
12.3,5.0,42,22.5,10,E10,0,0,0,12.5,0.615,1.212
12.3,5.2,57,22.5,15,E10,0,0,1,7.5,0.6396000000000001,1.26
12.5,4.3,57,22.5,16,E10,0,0,1,6.5,0.5375,1.059
31.5,4.1,30,22.5,16,E10,0,0,1,6.5,1.2914999999999999,2.544
11.8,4.4,42,22.5,8,E10,0,0,0,14.5,0.5192000000000001,1.023
24.9,4.5,53,22.5,14,E10,0,0,0,8.5,1.1205,2.207
17.0,3.9,46,22.5,14,E10,0,0,1,8.5,0.6629999999999999,1.306
2.0,8.1,20,22.5,14,E10,0,0,0,8.5,0.162,0.319
11.8,4.4,33,22.5,8,E10,0,0,0,14.5,0.5192000000000001,1.023
7.4,5.0,31,22.5,12,E10,0,0,0,10.5,0.37,0.729
12.4,4.7,55,22.5,14,E10,0,0,1,8.5,0.5828,1.148
2.0,6.0,22,22.5,14,E10,0,0,0,8.5,0.12,0.236
14.0,5.0,41,22.5,8,E10,0,0,0,14.5,0.7,1.379
25.7,5.0,45,22.5,7,E10,0,0,0,15.5,1.285,2.531
24.5,3.9,50,21.5,15,E10,0,0,1,6.5,0.9555,1.882
11.8,4.5,28,22.5,12,E10,0,0,0,10.5,0.531,1.046
4.1,5.4,24,22.5,13,E10,0,0,0,9.5,0.2214,0.436
4.2,5.6,29,22.0,17,E10,0,0,0,5.0,0.2352,0.463
4.2,3.9,29,22.0,18,E10,0,0,1,4.0,0.1638,0.323
16.0,4.0,40,22.0,10,E10,0,0,0,12.0,0.64,1.261
22.9,4.0,29,21.5,21,E10,0,0,0,0.5,0.9159999999999999,1.805
16.0,3.8,42,21.5,8,E10,0,0,0,13.5,0.608,1.198
15.4,4.5,50,22.0,14,E10,0,0,0,8.0,0.693,1.365
16.0,3.8,41,22.0,12,E10,0,0,0,10.0,0.608,1.198
4.2,5.6,32,22.0,18,E10,0,0,0,4.0,0.2352,0.463
101.9,5.2,75,22.0,18,E10,0,0,0,4.0,5.2988,10.439
93.9,4.8,88,23.0,18,E10,1,0,1,5.0,4.5072,8.879
25.7,4.9,50,22.0,10,SP98,0,1,0,12.0,1.2593,2.889
16.0,4.1,40,22.0,10,SP98,0,0,0,12.0,0.6559999999999999,1.505
16.1,4.5,32,22.0,19,SP98,0,0,0,3.0,0.7245,1.662
16.0,4.4,40,22.0,7,SP98,1,1,0,15.0,0.7040000000000001,1.615
16.0,4.5,41,22.0,11,SP98,0,0,0,11.0,0.72,1.652
24.7,4.5,26,22.0,10,SP98,0,0,0,12.0,1.1115,2.55
16.0,3.9,42,22.0,8,SP98,0,0,0,14.0,0.624,1.431
15.4,4.6,43,22.0,16,SP98,0,0,0,6.0,0.7083999999999999,1.625
16.0,3.8,40,22.0,8,SP98,0,0,0,14.0,0.608,1.395
32.1,4.5,50,22.0,16,SP98,0,0,0,6.0,1.4445000000000001,3.314
25.9,4.4,40,22.0,14,SP98,0,0,0,8.0,1.1396000000000002,2.614
48.6,4.3,44,22.0,12,SP98,0,0,0,10.0,2.0898,4.794
37.2,4.0,45,22.0,20,SP98,0,0,1,2.0,1.4880000000000002,3.413
28.8,3.9,35,22.0,15,SP98,0,0,1,7.0,1.1232,2.577
6.7,5.0,30,22.0,17,SP98,0,0,0,5.0,0.335,0.768
7.4,4.1,25,22.0,18,SP98,0,0,1,4.0,0.3034,0.696
17.3,4.1,22,22.0,25,SP98,0,0,1,-3.0,0.7092999999999999,1.627
6.6,5.6,43,22.0,16,SP98,0,0,0,6.0,0.36959999999999993,0.848
14.3,4.1,26,22.0,20,SP98,0,0,0,2.0,0.5862999999999999,1.345
13.3,4.6,33,22.0,18,SP98,0,0,0,4.0,0.6118,1.403
8.3,4.9,26,22.0,23,SP98,0,0,0,-1.0,0.40670000000000006,0.933
12.7,4.5,39,22.0,27,SP98,0,0,1,-5.0,0.5715,1.311
16.5,4.1,47,22.0,14,SP98,0,0,0,8.0,0.6764999999999999,1.552
20.6,4.1,38,22.0,21,SP98,0,0,0,1.0,0.8445999999999999,1.938
16.3,4.5,58,22.0,16,SP98,0,0,0,6.0,0.7335,1.683
18.7,4.2,65,25.0,18,SP98,1,0,1,7.0,0.7854000000000001,1.802
36.5,3.9,54,23.0,18,SP98,0,0,1,5.0,1.4235,3.266
19.0,5.0,35,22.0,15,SP98,1,0,1,7.0,0.95,2.179
16.6,4.4,46,22.0,5,SP98,1,0,0,17.0,0.7304,1.676
29.9,4.5,32,22.0,18,SP98,1,0,0,4.0,1.3455,3.087
16.0,3.8,42,22.0,11,SP98,0,0,0,11.0,0.608,1.395
21.1,5.1,33,22.0,10,SP98,0,1,0,12.0,1.0761,2.469
16.0,3.9,40,22.0,10,SP98,0,0,0,12.0,0.624,1.431
11.9,5.3,34,22.0,13,SP98,0,0,0,9.0,0.6307,1.447
10.1,4.2,35,22.0,16,SP98,0,0,0,6.0,0.4242,0.973
31.9,4.3,33,22.0,16,SP98,0,0,0,6.0,1.3717,3.147
18.7,4.0,60,22.0,13,SP98,0,0,0,9.0,0.748,1.716
10.8,4.7,48,22.0,17,SP98,0,0,1,5.0,0.5076,1.164
19.8,4.0,56,22.0,17,SP98,0,0,1,5.0,0.792,1.817
11.3,4.3,38,22.0,17,SP98,0,0,0,5.0,0.48590000000000005,1.115
11.5,5.3,53,22.0,15,SP98,0,0,0,7.0,0.6094999999999999,1.398
21.4,5.2,51,22.0,13,SP98,0,0,0,9.0,1.1128,2.553
32.0,4.9,53,22.0,15,SP98,0,0,0,7.0,1.568,3.597
41.9,4.7,53,22.0,14,SP98,0,0,0,8.0,1.9693,4.518
211.0,4.6,80,22.0,20,SP98,0,0,0,2.0,9.706,22.266
216.1,5.3,90,22.0,21,SP98,0,0,1,1.0,11.453299999999999,26.274
25.5,3.6,27,22.0,27,SP98,0,0,1,-5.0,0.9179999999999999,2.106
16.6,4.2,52,22.0,15,SP98,0,1,0,7.0,0.6972000000000002,1.599
25.9,4.1,43,22.0,24,SP98,0,0,0,-2.0,1.0618999999999998,2.436
16.5,4.0,48,22.0,15,SP98,0,0,0,7.0,0.66,1.514
22.1,3.9,29,22.0,26,SP98,0,0,0,-4.0,0.8619,1.977
16.6,3.7,49,22.0,17,E10,0,0,0,5.0,0.6142000000000001,1.21
15.4,4.5,43,22.0,24,E10,0,0,0,-2.0,0.693,1.365
16.5,3.9,43,22.0,17,E10,0,0,0,5.0,0.6435,1.268
15.4,5.1,21,22.0,24,E10,0,0,0,-2.0,0.7853999999999999,1.547
18.4,4.2,59,22.0,24,E10,0,0,0,-2.0,0.7728,1.522
39.5,4.2,58,22.0,25,E10,0,0,0,-3.0,1.659,3.268
21.5,4.8,47,25.0,27,E10,1,0,1,-2.0,1.032,2.033
4.8,4.7,26,25.0,18,E10,0,0,0,7.0,0.2256,0.444
100.9,4.7,87,23.5,22,E10,0,0,0,1.5,4.7423,9.342
129.7,4.6,58,24.0,21,E10,0,0,0,3.0,5.966199999999999,11.753
16.6,3.8,43,21.5,16,E10,0,0,0,5.5,0.6308,1.243
15.4,4.2,50,21.5,21,E10,0,0,0,0.5,0.6468,1.274
16.0,3.7,45,22.0,17,E10,0,0,0,5.0,0.5920000000000001,1.166
16.0,4.2,41,22.0,15,E10,0,0,0,7.0,0.672,1.324
15.4,4.1,45,22.0,24,E10,0,0,0,-2.0,0.6314,1.244
16.0,4.0,43,22.0,16,E10,0,0,0,6.0,0.64,1.261
21.0,3.8,37,22.0,21,E10,0,0,0,1.0,0.7979999999999999,1.572
15.4,3.8,47,22.0,24,E10,0,0,0,-2.0,0.5851999999999999,1.153
16.0,3.8,42,22.0,17,E10,0,0,0,5.0,0.608,1.198
16.1,5.1,30,25.0,16,E10,1,1,0,9.0,0.8210999999999999,1.618
16.0,4.0,42,22.0,15,E10,0,0,0,7.0,0.64,1.261
15.4,4.8,40,22.0,18,E10,0,0,0,4.0,0.7392,1.456
17.2,3.9,35,22.0,16,E10,0,0,0,6.0,0.6708,1.321
